Hom,medLongSeg,CV,nSeg,nSegNum,Base,BaseNum,L,Lprop,gurobiMinMax,gurobiT1,gurobiT2,greedyMinMax,greedyT1,greedyT2,improvedMinMax,improvedT1,improvedT2,errorGreedyAbs,errorGreedy,errorImprovedAbs,errorImproved,kGreedy,kImproved
0,10,0.2,0,17,0,0.51732991,1,0.867582095,1769.673156,1,1,2257.918727,0,1,1792.497954,1,1,488.2455716,0.275895902,22.82479819,0.012897748,1.275895902,1.012897748
0,10,0.2,0,15,1,1.709864603,0,0.089119316,4068.845273,2,2,4287.235182,1,2,4114.098267,2,2,218.389909,0.053673682,45.25299399,0.011121827,1.053673682,1.011121827
0,10,0.2,0,16,0,0.600660066,1,0.9467801,2142.944489,1,1,2557.91309,0,1,2159.271325,1,1,414.9686013,0.193644121,16.32683633,0.00761888,1.193644121,1.00761888
0,10,0.2,0,19,0,0.978855721,1,0.934923487,2298.12854,1,1,2831.446964,0,1,2355.506045,1,1,533.3184247,0.232066403,57.37750563,0.024967057,1.232066403,1.024967057
0,10,0.2,1,20,1,1.551652893,1,0.343232845,2097.936397,1,1,2110.667974,1,1,2110.667974,1,1,12.73157766,0.006068619,12.73157766,0.006068619,1.006068619,1.006068619
0,10,0.2,0,18,1,1.260992908,1,0.793010008,2383.644102,1,1,2792.772066,0,1,2389.875011,1,1,409.127964,0.171639702,6.230908505,0.002614026,1.171639702,1.002614026
0,10,0.2,0,18,0,0.10321489,1,0.578393293,1190.313706,1,1,1698.389594,0,1,1190.742193,1,1,508.0758886,0.426842005,0.428487616,0.000359979,1.426842005,1.000359979
0,10,0.2,0,18,0,0.605932203,1,0.779957132,1168.271826,1,1,1624.153878,0,1,1168.271826,1,1,455.8820518,0.390219161,0,0,1.390219161,1
0,10,0.2,0,18,0,0.831880448,0,0.175303454,2143.773829,1,1,2258.169359,1,1,2258.169359,1,1,114.3955293,0.053361753,114.3955293,0.053361753,1.053361753,1.053361753
0,10,0.2,0,15,1,1.371485944,0,0.13781868,3243.104112,2,2,3257.105957,1,2,3257.105957,1,2,14.00184421,0.004317421,14.00184421,0.004317421,1.004317421,1.004317421
0,10,0.2,0,19,0,0.478571429,1,0.590440512,1585.472317,1,1,1732.910513,1,1,1732.910513,1,1,147.4381956,0.092993232,147.4381956,0.092993232,1.092993232,1.092993232
